127.0.0.1 - - [14/Aug/2017:01:36:28 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:36:32 +0530] "GET /project_frontend/ HTTP/1.1" 200 7136
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:36:32 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:36:32 +0530] "GET /project_frontend/resources/images/galaxys8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:36:32 +0530] "GET /project_frontend/resources/images/oneplus5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:36:32 +0530] "GET /project_frontend/resources/images/iphone%207%20plus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:37:03 +0530] "GET /project_frontend/aboutus HTTP/1.1" 200 4019
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:37:03 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:37:03 +0530] "GET /project_frontend/resources/images/aboutuspage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:37:13 +0530] "GET /project_frontend/all/product/getallproducts HTTP/1.1" 200 5322
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:37:13 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:37:14 +0530] "GET /project_frontend/resources/images/35.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:37:14 +0530] "GET /project_frontend/resources/images/34.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:37:14 +0530] "GET /project_frontend/resources/images/38.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:37:14 +0530] "GET /project_frontend/resources/images/33.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:37:58 +0530] "GET /project_frontend/all/registrationform HTTP/1.1" 200 7137
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:37:58 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:38:11 +0530] "GET /project_frontend/login HTTP/1.1" 200 4642
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:38:11 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:38:24 +0530] "POST /project_frontend/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:38:25 +0530] "GET /project_frontend/home HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:38:25 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:38:25 +0530] "GET /project_frontend/resources/images/galaxys8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:38:25 +0530] "GET /project_frontend/resources/images/oneplus5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:38:25 +0530] "GET /project_frontend/resources/images/iphone%207%20plus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:38:40 +0530] "GET /project_frontend/admin/getproductform HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:38:40 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:39:35 +0530] "GET /project_frontend/all/product/getallproducts HTTP/1.1" 200 6476
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:39:35 +0530] "GET /project_frontend/resources/images/33.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:39:35 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:39:35 +0530] "GET /project_frontend/resources/images/35.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:39:35 +0530] "GET /project_frontend/resources/images/38.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:39:35 +0530] "GET /project_frontend/resources/images/34.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:39:50 +0530] "GET /project_frontend/all/product/viewproduct/33 HTTP/1.1" 200 4206
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:39:50 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:39:50 +0530] "GET /project_frontend/resources/images/33.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:01:39:52 +0530] "GET /project_frontend/cart/addtocart/33?units= HTTP/1.1" 400 1130
