127.0.0.1 - - [25/Sep/2017:16:04:31 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:04:38 +0530] "GET /project_frontend/ HTTP/1.1" 200 9807
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:04:38 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:04:38 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:04:38 +0530] "GET /project_frontend/resources/images/oneplus5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:04:39 +0530] "GET /project_frontend/resources/images/iphone%207%20plus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:04:39 +0530] "GET /project_frontend/resources/images/galaxys8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:06:26 +0530] "GET /project_frontend/ HTTP/1.1" 200 9807
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:06:28 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:06:28 +0530] "GET /project_frontend/resources/images/oneplus5.jpg HTTP/1.1" 200 104615
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:06:28 +0530] "GET /project_frontend/resources/images/galaxys8.jpg HTTP/1.1" 200 80130
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:06:28 +0530] "GET /project_frontend/resources/images/iphone%207%20plus.jpg HTTP/1.1" 200 39935
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:06:28 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:06:29 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:07:29 +0530] "GET /project_frontend/aboutus HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:07:30 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:07:30 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:07:30 +0530] "GET /project_frontend/resources/images/aboutuspage.jpg HTTP/1.1" 200 1321005
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:07:44 +0530] "GET /project_frontend/login HTTP/1.1" 200 7292
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:07:44 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:07:44 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
